Round Number,Date,Location,Home Team,Away Team,Group,Result
1,19/09/2020 19:30,Sheikh Zayed Stadium,Mumbai Indians,Chennai Super Kings,,
1,20/09/2020 19:30,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,,
1,21/09/2020 19:30,Dubai International Cricket Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,,
1,22/09/2020 19:30,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,,
1,23/09/2020 19:30,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,,
1,24/09/2020 19:30,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,,
1,25/09/2020 19:30,Dubai International Cricket Stadium,Chennai Super Kings,Delhi Capitals,,
1,26/09/2020 19:30,Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,,
2,27/09/2020 19:30,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,,
2,28/09/2020 19:30,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,,
2,29/09/2020 19:30,Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,,
2,30/09/2020 19:30,Dubai International Cricket Stadium,Rajasthan Royals,Kolkata Knight Riders,,
2,01/10/2020 19:30,Sheikh Zayed Stadium,Kings XI Punjab,Mumbai Indians,,
2,02/10/2020 19:30,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,,
2,03/10/2020 15:30,Sheikh Zayed Stadium,Royal Challengers Bangalore,Rajasthan Royals,,
2,03/10/2020 19:30,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,,
3,04/10/2020 15:30,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,,
3,04/10/2020 19:30,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,,
3,05/10/2020 19:30,Dubai International Cricket Stadium,Royal Challengers Bangalore,Delhi Capitals,,
3,06/10/2020 19:30,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,,
3,07/10/2020 19:30,Sheikh Zayed Stadium,Kolkata Knight Riders,Chennai Super Kings,,
3,08/10/2020 19:30,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,,
3,09/10/2020 19:30,Sharjah Cricket Stadium,Rajasthan Royals,Delhi Capitals,,
3,10/10/2020 15:30,Sheikh Zayed Stadium,Kings XI Punjab,Kolkata Knight Riders,,
4,10/10/2020 19:30,Dubai International Cricket Stadium,Chennai Super Kings,Royal Challengers Bangalore,,
4,11/10/2020 15:30,Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,,
4,11/10/2020 19:30,Sheikh Zayed Stadium,Mumbai Indians,Delhi Capitals,,
4,12/10/2020 19:30,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,,
